Nombre,Tipo,Fecha inicio,Fecha fin,GPS,Municipio,Precio,Provincia
Biblioteca Foral De Bizkaia: Grupos De Lectura En Euskera (Ii): Urpean Murgildu,Conferencia,20221103,20221103,"43.256963,-2.923441",Bilbao,Gratis,Bizkaia
The Notwist + Evening Hymns,Concierto,20221103,20221103,"43.4816474915,-1.55913102627",Biarritz,20 / 23 €,Iparralde
The Busters,Concierto,20221103,20221103,"43.320725,-1.984449",Donostia-San Sebastián,18€/20€,Gipuzkoa
La M.O.D.A.,Concierto,20221103,20221103,"42.846718,-2.671635",Vitoria-Gasteiz,Agotadas,Araba
Orquesta Sinfónica De Navarra: Héroes Y Ofrendas,Concierto,20221103,20221103,"42.817643,-1.648541",Pamplona/Iruña,15€/26€/32€,Navarra
The Soulers,Concierto,20221103,20221103,"42.846718,-2.671635",Vitoria-Gasteiz,7€,Araba
Dantzaldia 2022: Parece Nada,Danza,20221103,20221103,"43.256963,-2.923441",Bilbao,14 €,Bizkaia
Llueven Vacas (Estreno),Teatro,20221103,20221103,"42.817643,-1.648541",Pamplona/Iruña,10€,Navarra
Carlos Hipólito: Oceanía,Teatro,20221103,20221103,"43.362286,-3.012567",Getxo,15 €,Bizkaia
Korrontzi + Kalakan,Concierto,20221103,20221103,"43.256963,-2.923441",Bilbao,8 / 10 €,Bizkaia
2133,Teatro,20221103,20221103,"43.20752,-2.887839",Arrigorriaga,5 €,Bizkaia
Act Festival 2022: Uncía,Danza,20221103,20221103,"43.256963,-2.923441",Bilbao,12€,Bizkaia
Act Festival 2022: La Primera Cárcel,Teatro,20221103,20221103,"43.256963,-2.923441",Bilbao,12€,Bizkaia
Bjc-Bilbaina Jazz Club 2022: Lluc Casares Quartet,Concierto,20221103,20221103,"43.256963,-2.923441",Bilbao,15 €,Bizkaia
Bilboko Zirkuitua 2022: Nuestra Señora De Las Nubes,Teatro,20221103,20221103,"43.256963,-2.923441",Bilbao,Gratis,Bizkaia
Festival De Teatro De Santurtzi 2022: Sexberdinak,Teatro,20221103,20221103,"43.328711,-3.031772",Santurtzi,0,Bizkaia
Euskadiko Orkestra: Fantasmas,Concierto,20221103,20221103,"42.846718,-2.671635",Vitoria-Gasteiz,10 / 38 €,Araba
Cineastas Vascas 2022: El Bosque Del Lobo Y Zonbi Eguna (Vitoria),Proyección Audiovisual,20221103,20221103,"42.846718,-2.671635",Vitoria-Gasteiz,"2 / 3,5 € (menores de 25 años gratis)",Araba
Euskal Emakume Zinemagileak 2022: Lucius Dumben Berebiziko Bidaia,Proyección Audiovisual,20221103,20221103,"43.320725,-1.984449",Donostia-San Sebastián,0,Gipuzkoa
Cineastas Vascas 2022: El Bosque Del Lobo Y Zonbi Eguna (San Sebastián),Proyección Audiovisual,20221103,20221103,"43.320725,-1.984449",Donostia-San Sebastián,"3,6 / 4  €",Gipuzkoa
Yaima Orozco,Concierto,20221103,20221103,"43.256963,-2.923441",Bilbao,5 €,Bizkaia
"Cuentacuentos Musical: Abentura Zirraragarria, Con Perli Eta Koxkolo",Actividad Infantil,20221103,20221103,"42.846718,-2.671635",Vitoria-Gasteiz,1€,Araba
Néboa,Concierto,20221103,20221103,"43.320725,-1.984449",Donostia-San Sebastián,8 / 11 €,Gipuzkoa
Act Festival 2022: Aspects,Danza,20221103,20221103,"43.296826,-2.985259",Barakaldo,0,Bizkaia
Act Festival 2022: Bélmez,Teatro,20221103,20221103,"43.296826,-2.985259",Barakaldo,0,Bizkaia
Udagoieneko Ostera 2022: Korrontzi  + Kalakan,Concierto,20221103,20221103,"43.256963,-2.923441",Bilbao,8€,Bizkaia
Haziaraba In The Mapping 2022: Zerupean,Actividad Infantil,20221102,20221103,"43.143332,-2.962985",Llodio,0,Araba
Encuentro Literario Internacional 2022: Un Mundo De Escritoras,Conferencia,20221102,20221103,"43.320725,-1.984449",Donostia-San Sebastián,Gratis,Gipuzkoa
Bertso Saioa,Bertsolarismo,20221103,20221103,"43.35441,-2.846714",Mungia,0,Bizkaia
Hopper Oilaskoerbia (Estreno),Proyección Audiovisual,20221028,20221103,"43.362286,-3.012567",Getxo,0,Bizkaia
Xvi Muestra Internacional De Títeres Para Aldultos: La Inaguración,Teatro,20221103,20221103,"43.118217,-2.413358",Bergara,0,Gipuzkoa
Xvi Muestra Internacional De Títeres Para Aldultos: Trabajos De Interior,Teatro,20221103,20221103,"43.118217,-2.413358",Bergara,0,Gipuzkoa
Iparraldeko Borroka Alternatiboak,Conferencia,20221103,20221103,"43.3593876,-1.7759398",Hendaye,0,Iparralde
Gozategi (Akustikoa),Concierto,20221104,20221104,"43.30962828883786,-3.006906509399414",Sestao,7 €,Bizkaia
Less Than Jake + Bad Cop / Bad Cop,Concierto,20221104,20221104,"43.256963,-2.923441",Bilbao,20 €,Bizkaia
Vulk + Kokoshca,Concierto,20221104,20221104,"42.817643,-1.648541",Pamplona/Iruña,12 €,Navarra
Iñaki Urrutia,Teatro,20221104,20221104,"43.320725,-1.984449",Donostia-San Sebastián,12 / 15 €,Gipuzkoa
Lágrimas De Sangre,Concierto,20221104,20221104,"42.83427,-1.608337",Villava/Atarrabia,15 €,Navarra
Girando Por Navarra 2022: Bourbon Kings,Concierto,20221104,20221104,"42.83427,-1.608337",Villava/Atarrabia,5 €,Navarra
La La Love You + Veintiuno,Concierto,20221104,20221104,"42.817643,-1.648541",Pamplona/Iruña,25 €,Navarra
Programa De La Semana De Cine Fantástico Y De Terror De San Sebastián 2022,Festival,20221028,20221104,"43.320725,-1.984449",Donostia-San Sebastián,0,Gipuzkoa
Ziak,Concierto,20221104,20221104,"43.4816474915,-1.55913102627",Biarritz,22 / 25 / 28 €,Iparralde
Luis Fercan,Concierto,20221104,20221104,"43.256963,-2.923441",Bilbao,0,Bizkaia
Festival Viernes Flamencos 2022: Xabi Aburruzaga & Gaspar Rodríguez Bidaia (Estreno),Danza,20221104,20221104,"43.296826,-2.985259",Barakaldo,15€,Bizkaia
Dorian,Concierto,20221104,20221104,"42.846718,-2.671635",Vitoria-Gasteiz,20€,Araba
Oscar Maza,Concierto,20221104,20221104,"43.256963,-2.923441",Bilbao,12€,Bizkaia
Winona & Grace,Teatro,20221104,20221104,"43.239656,-2.885518",Basauri,10 € (Amigos/as del Social: 5 €),Bizkaia
Parabellum,Concierto,20221104,20221104,"43.256963,-2.923441",Bilbao,Entradas agotadas,Bizkaia
Zehar,Danza,20221104,20221104,"43.32580207042292,-2.987508773803711",Leioa,6 €,Bizkaia
Pablo Ibarburu: La Hora De Pablo Ibarburu,Teatro,20221104,20221104,"42.817643,-1.648541",Pamplona/Iruña,16€/14€,Navarra
Bilbao Orkestra Sinfonikoa (Bos): Debussy Y El Sonido Del Txistu,Concierto,20221103,20221104,"43.256963,-2.923441",Bilbao,0,Bizkaia
Bazen Behin 2022: Izaskun Mujika Ipuinen Haria,Actividad Infantil,20221104,20221104,"43.296826,-2.985259",Barakaldo,Inscripción,Bizkaia
Kopaz Kopa,Teatro,20221104,20221104,"43.186642,-2.502607",Ermua,10€,Bizkaia
Festival Internacional De Teatro De Vitoria-Gasteiz 2022: Perra (Estreno),Teatro,20221104,20221104,"42.846718,-2.671635",Vitoria-Gasteiz,6 / 15 €,Araba
Odei Barroso: Terapia,Concierto,20221104,20221104,"43.362286,-3.012567",Getxo,5 €,Bizkaia
"Festival Ja! Bilbao 2022: Primer Asalto, Primera Exposición Retrospectiva De La Obra De Javier Jaén",Exposición,20221012,20221104,"43.256963,-2.923441",Bilbao,0,Bizkaia
Vargas Blues Band,Concierto,20221104,20221104,"42.846718,-2.671635",Vitoria-Gasteiz,18 / 22 €,Araba
Celestina Infernal,Teatro,20221104,20221104,"43.130386,-2.542155",Elorrio,12 €,Bizkaia
Batetik Bestera,Actividad Infantil,20221104,20221104,"43.321127,-1.898775",Lezo,0,Gipuzkoa
